The wealth of nations was written by _	Adam Smith&nbsp;	
"""A nations wealth is not measured in gold and silver, but in the services it consumes"" and ""the invisible hand"" was said by _"	Adam Smith	
The shortage of a natural good that is openly desired is called	"Scarcity<div><br /></div><div><div>EX: While there is an abundance of cars in the United States, I have a scarcity of cars in my life because I can only afford so many</div><div>""they are still scarce because we would like to have more of them than nature has freely provided""</div></div>"	
The result of scarcity is _	Choice	
What is the definition of choice?	a person must decide how to spend limited resource	
_ are the ingredients/inputs people use to produce goods and services	Resources	
_ &nbsp;is limited by available resource	Production	
Scarce goods are created with limited _	resources	
What are the 3 types of physical resources?	Human<div>Physical</div><div>Natural</div>	
What is human resource?	Human abillities - labor, skill, knowledge	
What is physical resource?	productions enhancement objects, such as tools, buildings	
Physical resource in economics is also known as _	Capital	
_ _ is often needed to transform natural resource into a scarcity good	Tables are created by wood, which requires human engunity<div><br />--Cavemen had the same resource as use centuries ago, only difference is human knowledge</div>	
What is the difference between an objective/subjective view?	Objective is defined by a definitive fact, such as someone is too poor to buy a mansion<div>Subjective is defined by an oppinion, where someone is poor because they wear cheap clothing</div>	
Scarcity is defined as _ , while poverty is defined as _	objective, subjective<div><br /></div>	
<div>If every person was rich, _ would still exist</div><div><br /></div>	scarcity	
Definition of rationing?	the method of determining who gets scarce goods&nbsp;	
What are the three main types of rationing?	Monetarily, govermentally and through time investment	
What is a Market Economy?	an economic system in which production and prices are determined by unrestricted competition between privately owned businesses	
Competition creates better cheaper products through _ and _	discovery and innovation	
"<div><span class=""Apple-tab-span"" style=""white-space:pre""> </span>• Rationing techniques alter how people attempt to&nbsp;obtain _</div>"	scarce goods	
Rule 1	'There is no such thing as a free dinner', every decision has a cost	
One decision has a cost and impact to another path is rule _&nbsp;	1	
<div>Building a school/education is free to students, but taxpayers pickup the check on paying salary, building school, upkeep, etc. is rule _</div><div><br /></div>	1	
Rule 2:	<div>2. INDIVIDUALS CHOOSE PURPOSEFULLY—THEY TRY TO GET THE MOST FROM</div><div>THEIR LIMITED RESOURCES</div>	
When choices are equal in cost, people will choose the most beneficial choice.<div>This is rule _</div>	2	
<div>People try not to squander their valuable resources</div><div>deliberately. Instead, they try to choose the options that best advance their personal</div><div>desires and goals at the least possible cost.</div><div><br /></div><div>This is rule:</div>	2	
Economizing behavior defines rule _	2	
